284977,1
93772,2
220366,5
380183,4
220759,5
276999,5
246995,3
245530,9
221934,5
282486,19
222865,5
278659,5
223234,10
350265,20
223954,10
224545,10
224574,20
224996,20
225325,10
373927,10
225805,5
226837,20
190843,20
189755,15
322919,20
193128,10
347742,10
193131,10
193152,5
191539,10
191579,10
348470,10
191422,20
191530,10
380007,10
190019,20
348985,20
191107,20
369309,10
189378,20
189411,10
288862,20
294478,20
311029,20
360398,20
310023,10
310242,20
311987,10
312033,30
309625,10
309664,20
309264,20
374273,10
309668,10
312998,10
310764,40
310768,40
310851,20
310994,10
311177,20
311344,20
311486,10
311498,20
310019,10
310124,5
310548,40
312938,20
310369,10
310410,20
360527,10
309909,10
376493,20
310211,5
310485,10
312459,10
312309,5
326309,10
42012,5
42080,5
346760,5
42171,5
42193,5
42196,5
42210,5
42263,5
349342,5
42284,10
42287,5
42315,5
372562,5
42350,5
381243,20
47275,5
47383,10
359437,5
344277,5
282885,5
47679,5
47881,5
264209,5
48529,10
265275,20
50457,5
286334,5
50525,5
273540,10
50652,10
256386,10
50672,10
50714,10
50832,10
50848,10
50852,5
50856,20
50868,5
50872,5
275694,5
50899,5
50904,5
50918,5
50924,5
50939,5
50961,5
50964,5
50976,5
344877,10
50989,10
50991,5
50993,10
50997,10
51002,10
51012,5
51023,10
281924,5
51039,10
372592,10
51050,5
51077,5
51157,10
51160,10
51192,5
51251,5
325489,5
51283,20
328783,5
51293,10
51297,10
381041,10
51300,15
376585,5
51317,10
51325,5
51326,10
51331,20
51360,10
264724,10
51370,5
51409,5
51413,5
51418,5
51437,20
51445,5
51455,10
51486,5
51495,10
51500,5
51517,5
51520,5
51523,10
51529,10
51537,10
264723,5
51562,10
51564,5
378263,5
287283,5
51593,10
288074,5
51629,10
51641,5
326307,5
51668,5
256780,10
51683,5
263536,10
51720,5
369747,5
51731,20
208508,10
51773,5
51799,5
51805,10
51885,10
51933,5
51963,5
51964,10
329210,5
52013,5
52028,5
52046,5
52058,5
52070,20
52086,20
375595,5
52142,5
52208,5
52211,10
328819,5
363690,5
52273,5
52334,5
52400,10
52403,10
52416,5
52451,5
52465,5
52468,10
52491,10
52508,10
52531,10
52549,10
52616,5
52653,5
52664,5
328790,10
52701,10
52777,5
52803,5
283843,5
52854,5
52894,15
52897,5
52903,5
375421,20
366696,10
327072,5
53221,5
53258,5
53259,10
376732,5
53277,10
53291,10
53314,5
375722,5
53388,10
332225,10
53421,10
201528,20
198839,20
198939,10
198978,10
199093,5
199110,5
199118,5
201643,5
198442,5
198740,10
280947,10
198815,5
198828,5
198834,10
332856,10
198992,10
285366,5
199015,5
199141,5
199146,5
199180,5
201696,5
199229,10
199232,10
201698,10
201702,5
197750,5
197764,10
202223,5
330480,10
197793,5
197828,5
197869,5
197876,5
240426,5
325233,10
198058,10
198068,5
198086,5
201732,10
198106,10
198126,5
241966,5
198189,20
197578,5
197593,5
197509,5
197519,20
361372,5
197492,10
197368,10
197373,5
286773,5
197398,5
197446,5
201802,5
197326,5
377287,15
281022,5
201835,20
197340,5
282067,5
197352,5
197918,10
197949,5
197953,5
344990,5
197959,5
197960,5
197987,5
197996,5
287071,10
198048,10
201867,10
201878,5
198175,20
198217,20
201887,20
201901,10
198432,5
201922,5
350993,5
198286,5
240044,5
198336,10
323587,5
198347,10
201952,10
201957,10
201960,5
262661,10
201291,20
198387,5
198388,5
201292,5
198393,5
350091,5
198398,20
349483,10
198460,5
379911,5
198569,5
287064,10
198598,20
276763,10
198599,10
380823,10
201412,10
201413,5
198620,5
201418,5
201421,5
348538,10
201429,20
198651,10
198663,5
198667,10
198671,5
198674,5
201457,10
198675,5
198688,5
198717,5
333552,10
201488,10
198766,5
198803,10
197637,5
197641,5
201498,5
197707,5
197752,10
197812,10
362998,10
197904,5
197910,5
348516,5
198112,5
198152,10
198156,5
277963,5
198161,5
198177,10
198190,5
198195,5
198218,5
198273,5
197450,20
381459,5
197488,5
197523,10
197525,5
201884,5
349027,5
328795,20
197627,10
288166,5
381461,5
369402,5
199452,5
199453,10
369229,5
199462,5
199437,10
331243,5
199356,5
288079,5
278447,10
381465,10
202055,10
202051,30
199082,10
202040,10
284388,5
202034,5
199192,5
377107,10
370067,10
199282,5
199295,5
201992,5
279338,20
252934,5
252778,10
375420,5
252690,5
380720,5
252679,10
275216,10
369919,5
252779,10
252756,5
252724,10
252685,5
252662,5
252609,5
361532,5
253229,10
253227,5
253224,5
381239,5
253189,5
253183,5
253176,5
362528,5
253066,20
253070,10
253076,5
253123,5
246206,10
252200,10
261802,5
261769,5
261715,5
261997,20
261996,5
261993,5
326920,5
369729,5
261721,5
261439,5
