843351|充值商户存款|wj|1|Y|
843355|充值商户设备添加|wj|1|Y|
843356|充值商户设备删除|wj|1|Y|
843357|充值商户设备查询|wj|1|Y|
843358|充值操作员添加|wj|1|Y|
843359|充值操作员修改|wj|1|Y|
843360|充值操作员删除|wj|1|Y|
843361|充值操作员查询|wj|1|Y|
843362|充值操作员设备增加|wj|1|Y|
843363|充值操作员设备删除|wj|1|Y|
843364|充值操作员设备查询|wj|1|Y|
843370|设备商户导入管理|wj|1|Y|
843371|设备商户信息设置|wj|1|Y|
843373|客户类别信息增加|wj|1|Y|
846101|添加卡类别|lx|1|Y|
846102|卡片领入|lx|1|Y|
846103|卡片上交|lx|1|Y|
846104|卡片交接|lx|1|Y|
846105|卡片作废|lx|1|Y|
846106|卡片查询|lx|1|Y|
846107|操作员当前显示卡号查询|lx|1|Y|
846201|添加钱包信息|lx|1|Y|
846202|计划任务添加|lx|1|Y|
846203|计划任务日志查询|lx|1|Y|
846204|消息队列|lx|1|Y|
846301|一卡通开户|wj|1|Y|
846302|一卡通开户冲正|wj|1|Y|
846303|一卡通销户|wj|1|Y|
846304|一卡通销户冲正|wj|1|Y|
846305|一卡通补办卡|wj|1|Y|
846306|一卡通补办卡冲正|wj|1|Y|
846307|一卡通挂失解挂|wj|1|Y|
846308|一卡通冻结解冻|wj|1|Y|
846309|一卡通坏卡登记|wj|1|Y|
846310|一卡通回收|wj|1|Y|
846312|一卡通充值|wj|1|Y|
846314|一卡通支取|wj|1|Y|
846315|交易冲正|wj|1|Y|
846316|充值冲正|wj|1|Y|
846317|消费冲正|wj|1|Y|
846331|电子帐户开户|wj|1|Y|
846332|电子帐户销户|wj|1|Y|
846333|电子帐户存款|wj|1|Y|
846334|电子帐户销户|wj|1|Y|
846335|电子帐户止付解付|wj|1|Y|
846336|电子帐户转账|wj|1|Y|
846337|电子帐户密码修改|wj|1|Y|
846338|电子帐户密码重置|wj|1|Y|
846401|pos流水文件导入|wj|1|Y|
846402|pos流水录入增删改查|wj|1|Y|
846403|pos流水录入审核|wj|1|Y|
846501|网点设置|wj|1|Y|
846502|交易收费配置|wj|1|Y|
846600|开户客户信息查询|wj|1|Y|
846601|开户手续费查询|wj|1|Y|
846602|已开户客户信息查询|wj|1|Y|
846603|电子钱包已开户客户信息查询|wj|1|Y|
846605|卡交易流水查询|wj|1|Y|
846606|帐户交易明细查询|wj|1|Y|
847110|更新卡信息查询|dyf|1|Y|
847111|卡密码修改|dyf|1|Y|
847115|授权卡信息查询|dyf|1|Y|
847121|更新卡信息|hxz|1|Y|
847122|新生换卡保存卡信息|hxz|1|Y|
847123|换卡|hxz|1|Y|
847127|手工借贷|hxz|1|Y|
847130|补助信息导入|hxz|1|Y|
847131|补助信息增删改|hxz|1|Y|
847132|补助信息下发|hxz|1|Y|
847150|(手工借贷)账户名称查询|hxz|1|Y|
847164|查询商户设备信息|hxz|1|Y|
847165|查询设备信息|hxz|1|Y|
847166|消费机与LPORT信息查询|hxz|1|Y|
847168|客户信息查询(批量发行卡)|hxz|1|Y|
847182|设备商户查询|hxz|1|Y|
847185|查询银行对帐单|hxz|1|Y|
847198|收费类别配置|tc|1|Y|
847220|账务解款|tc|1|Y|
847221|账务解款冲正|tc|1|Y|
847222|商户消费结算|tc|1|Y|
847223|商户消费结算冲正|tc|1|Y|
847224|商户消费结算商户余额查询|tc|1|Y|
847225|充值平台检测卡状态|tc|1|Y|
847226|操作员授权卡发行|tc|1|Y|
847227|操作员授权卡回收|tc|1|Y|
847228|修改授权卡参数|tc|1|Y|
847229|授权卡挂失|tc|1|Y|
847230|授权卡解挂|tc|1|Y|
847231|授权卡查询|tc|1|Y|
847232|授权卡查询|tc|1|Y|
847233|考勤流水查询|tc|1|Y|
847234|考勤流水统计查询|tc|1|Y|
847301|水控转账|lx|1|Y|
847302|转账失败|lx|1|Y|
847304|转账写卡失败|lx|1|Y|
847306|水控汇总金额入账|lx|1|Y|
847310|xxx|wj|1|Y|
847311|xxx|wj|1|Y|
847312|xxx|wj|1|Y|
847313|xxx|wj|1|Y|
847315|多媒体补助领取|hlq|1|Y|
847316|第三方请求确认|hlq|1|Y|
847317|第三方正式请求|hlq|1|Y|
847318|终端挂失|hlq|1|Y|
847319|终端挂失|hlq|1|Y|
847320|终端挂失|hlq|1|Y|
847322|电控余额查询|hlq|1|Y|
847343|授权卡发行|hhd|1|Y|
848250|门禁时间段管理|tc|1|Y|
848251|门禁时间周管理|tc|1|Y|
848252|门禁xxx|tc|1|Y|
848254|门禁时间段明细查询|tc|1|Y|
848255|门禁节假日管理|tc|1|Y|
848256|门禁xxx|tc|1|Y|
848257|门禁组管理|tc|1|Y|
848258|门禁xxx|tc|1|Y|
848259|门禁xxx|tc|1|Y|
848260|门禁xxx|tc|1|Y|
848264|门禁xxx|tc|1|Y|
848265|门禁xxx|tc|1|Y|
848266|门禁xxx|tc|1|Y|
848267|门禁xxx|tc|1|Y|
848268|门禁xxx|tc|1|Y|
848269|门禁xxx|tc|1|Y|
848270|门禁xxx|tc|1|Y|
848271|未领取补助查询xxx|tc|1|Y|
848272|补助领取xxx|tc|1|Y|
849001|xxx|tc|1|Y|
849002|xxx|tc|1|Y|
849003|xxx|tc|1|Y|
849004|xxx|tc|1|Y|
849005|xxx|tc|1|Y|
849006|xxx|tc|1|Y|
849007|xxx|tc|1|Y|
849020|xxx|tc|1|Y|
849021|银行卡绑定导入|tc|1|Y|
900120|查询结算总表|wj|1|Y|
900121|查询结算总表|wj|1|Y|
900122|查询结算总表|wj|1|Y|
900130|查询对账不符明细报表|wj|1|Y|
900140|查询卡库不平清单|wj|1|Y|
900150|查询操作员情况汇总表|wj|1|Y|
900170|查询普通商户结算表|wj|1|Y|
900171|查询普通商户结算表|wj|1|Y|
900172|生成清算对账文件|wj|1|Y|
900173|查询普通商户结算表|wj|1|Y|
900174|查询普通商户结算表|wj|1|Y|
900210|查询转账对账表|wj|1|Y|
900212|查询转账对账表|wj|1|Y|
900213|查询转账对账表|wj|1|Y|
900220|查询银行划拨表|wj|1|Y|
900230|查询资产负债表|wj|1|Y|
900240|按照设备查询充值报表|wj|1|Y|
900250|前置机设备充值报表|wj|1|Y|
900260|查询操作员卡片使用情况|wj|1|Y|
9002700|查询操作员当天操作情况|wj|1|Y|
900280|查询现金报表|wj|1|Y|
900281|查询现金报表|wj|1|Y|
900290|查询普通商户结算报表(当天)|wj|1|Y|
900300|查询商户解款报表|wj|1|Y|
900310|查询商户解款报表|wj|1|Y|
9003200|查询商户解款报表|wj|1|Y|
900088|前台手工生成报表|wj|1|Y|
940005|子系统名单同步查询|wj|1|Y|
