843368|设备商户信息增加|wj|1|Y|
843369|设备商户信息删除|wj|1|Y|
843370|设备商户信息修改|wj|1|Y|
843371|设备商户信息主键查询|wj|1|Y|
843372|设备商户信息非主键查询|wj|1|Y|
843373|客户类别信息增加|wj|1|Y|
843374|客户类别信息删除|wj|1|Y|
843375|客户类别信息修改|wj|1|Y|
843376|客户类别信息主键查询|wj|1|Y|
843377|客户类别信息非主键查询|wj|1|Y|
847101|发行正式卡|wj|1|Y|
847102|挂失卡|wj|1|Y|
847103|解挂卡|wj|1|Y|
847104|补办临时卡|lb|1|Y|
847105|退卡|lb|1|Y|
847106|现金冲值|lb|1|Y|
847107|现金支取|lb|1|Y|
847108|发卡失败更新卡状态|dyf|1|Y|
847109|商户开户|dyf|1|Y|
847110|更新卡信息查询|dyf|1|Y|
847111|修改卡密码|dyf|1|Y|
847115|授权卡信息查询|dyf|1|Y|
847116|发行临时卡|dyf|1|Y|
847117|冻结卡|hxz|1|Y|
847118|解冻卡|hxz|1|Y|
847119|补写卡信息|hxz|1|Y|
847120|补写卡信息交易确认|hxz|1|Y|
847121|更新卡信息|hxz|1|Y|
847122|新生换卡保存卡信息|hxz|1|Y|
847123|换卡|hxz|1|Y|
847124|发行记名临时卡|hxz|1|Y|
847125|发行不记名临时卡|hxz|1|Y|
847126|发行VIP卡|hxz|1|Y|
847127|手工借贷|hxz|1|Y|
847130|补助信息导入|hxz|1|Y|
847131|补助信息增删改|hxz|1|Y|
847132|补助信息下发|hxz|1|Y|
847136|回收商户卡|wj|1|Y|
847137|商户卡信息查询|wj|1|Y|
847150|账户名称查询|hxz|1|Y|
847151|客户查询(发行正式卡)|dyf|1|Y|
847152|客户查询(挂失卡)|dyf|1|Y|
847153|客户查询(解挂卡)|dyf|1|Y|
847154|客户查询(补办卡)|dyf|1|Y|
847155|客户查询(收回卡)|dyf|1|Y|
847156|客户查询(现金充值)|dyf|1|Y|
847158|客户查询(帐户开户)|dyf|1|Y|
