--- BULinkThread Status at 163834 (TickCount=3740911441)---
00(WAITREQ) QNO1105709 GID(GMDB1      ) LT[02:00:06] LF167 LRT930031  LST0          
01(WAITREQ) QNO100602 GID(GMDB1      ) LT[02:00:06] LF105 LRT930098  LST0          
02(WAITREQ) QNO5032  GID(GMDB1      ) LT[02:00:06] LF 71 LRT930031  LST0          
03(WAITREQ) QNO404   GID(GMDB1      ) LT[02:00:06] LF 53 LRT930099  LST0          
04(WAITREQ) QNO259   GID(GMDB1      ) LT[02:00:06] LF 50 LRT930098  LST0          
05(WAITREQ) QNO163   GID(GMDB1      ) LT[02:00:06] LF 34 LRT930098  LST0          
06(WAITREQ) QNO19    GID(GMDB1      ) LT[02:00:06] LF 10 LRT0       LST0          
07(WAITREQ) QNO7     GID(GMDB1      ) LT[02:00:06] LF 10 LRT0       LST0          
08(WAITREQ) QNO6     GID(GMDB1      ) LT[02:00:06] LF 10 LRT0       LST0          
09(WAITREQ) QNO5     GID(GMDB1      ) LT[02:00:06] LF 10 LRT0       LST0          
10(WAITREQ) QNO5     GID(GMDB1      ) LT[02:00:06] LF 10 LRT0       LST0          
11(NOTREADY) QNO5    
12(WAITREQ) QNO4     GID(GMDB1      ) LT[01:09:15] LF 10 LRT0       LST0          
13(WAITREQ) QNO3     GID(GMDB1      ) LT[01:12:38] LF 10 LRT0       LST0          
14(WAITREQ) QNO2     GID(GMDB1      ) LT[01:19:49] LF 10 LRT0       LST0          
15(WAITREQ) QNO2     GID(GMDB1      ) LT[02:00:06] LF 10 LRT0       LST0          

Function Status at 163834 (TickCount=3740911441)---
funcno|class|active|success|failure|           time| t_max| t_min|Description       | Programmer   
820403|    1|     Y|      0|      0|              0|     0|     0|全局参数删除|hxz
820404|    1|     Y|      0|      0|              0|     0|     0|全局参数关键字查询|hxz
820405|    1|     Y|      0|      0|              0|     0|     0|全局参数非关键字查询|hxz
820501|    1|     Y|    117|      0|           2308|    54|     7|登陆时数据字典查询|hxz
820502|    1|     Y|   1189|      0|          43738|   809|     1|登陆时读取数据字典条|hxz
820511|    1|     Y|      0|      0|              0|     0|     0|普通数据字典查询|hxz
820512|    1|     Y|      0|      0|              0|     0|     0|数据字典增加、修改|hxz
820516|    1|     Y|      0|      0|              0|     0|     0|读取数据字典条目|hxz
820521|    1|     Y|    117|      0|           1075|    47|     1|取功能列表|hxz
820522|    1|     Y|    837|      0|          17861|    47|     0|取系统日期|hxz
820601|    1|     Y|      0|      0|              0|     0|     0|客户信息同步|hxz
820704|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
820705|    1|     Y|      0|      0|              0|     0|     0|dd|hxz
841003|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
841004|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
841005|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
841006|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
841007|    1|     Y|      0|      0|              0|     0|     0|数据归档|hxz
841303|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
841304|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
841305|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
841306|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
841307|    1|     Y|      0|      0|              0|     0|     0|数据归档|hxz
841601|    1|     Y|      4|      0|            222|   113|    18|xxx|wj
841602|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
841603|    1|     Y|      6|      0|            204|   109|    17|xxx|wj
841604|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
841605|    1|     Y|     38|      3|           3797|   721|     4|数据归档|hxz
841606|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
841607|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
841608|    1|     Y|     11|      5|           1528|   464|    11|xxx|wj
842001|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
842002|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
842003|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
842004|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
842005|    1|     Y|      0|      0|              0|     0|     0|数据归档|hxz
842501|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
842502|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
842503|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
842504|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
842505|    1|     Y|      0|      0|              0|     0|     0|数据归档|hxz
843335|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
843336|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
843337|    1|     Y|      2|      0|             45|    37|     8|xxx|wj
843338|    1|     Y|    375|      0|          12191|    68|    14|xxx|wj
843339|    1|     Y|      1|      0|             19|    19|    19|xxx|wj
843368|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
843369|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
843370|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
843371|    1|     Y|      2|      0|             97|    50|    47|xxx|wj
843372|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
843373|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
843374|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
843375|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
843376|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
843377|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
847101|    1|     Y|     45|      1|           3008|   121|    38|xxx|wj
847102|    1|     Y|     17|      2|            401|    60|    10|xxx|wj
847103|    1|     Y|     10|      0|            295|    51|    13|xxx|wj
847104|    1|     Y|      0|      0|              0|     0|     0|补办临时卡|lb
847105|    1|     Y|      8|      0|            360|    76|    20|收回临时卡|lb
847106|    1|     Y|   1129|      1|          36927|    99|    12|现金冲值|lb
847107|    1|     Y|      5|      0|            193|    54|    24|现金支取|lb
847108|    1|     Y|      1|      0|             13|    13|    13|卡写失败回退后台操作|dyf
